,会社名,雇用形態,年収/給与
32,株式会社PGSホーム ,正社員,400万円～1000万円
33,JCSロジスコ株式会社 ,業務委託,300万円～1000万円
34,株式会社PGSホーム ,正社員,400万円～1000万円
35,株式会社イー・トラスト ,正社員,500万円～1000万円
36,株式会社コシダカ ,正社員,300万円～850万円
37,株式会社エストゥルース ,正社員,400万円～2000万円
38,益三建設株式会社 ,正社員,300万円～500万円
39,DSP株式会社 ,正社員,300万円～400万円
40,東建コーポレーション株式会社 ,正社員,400万円～800万円
41,株式会社ビッグモーター ,正社員,300万円～1000万円
42,株式会社ハマエンジニアリング ,正社員,280万円～400万円
43,エフエルシープレミアム株式会社 ,正社員,400万円～1000万円
44,株式会社建築資料研究社 ,正社員,350万円～550万円
45,株式会社エー・エス・エル ,正社員,400万円～800万円
46,DSP株式会社 ,正社員,400万円～1000万円
47,東建コーポレーション株式会社 ,正社員,400万円～800万円
48,株式会社アイエスエフネット ,正社員,306万円～1000万円
49,株式会社山崎機械店 ,正社員,300万円～600万円
50,株式会社リロパートナーズ ,正社員,500万円～700万円
51,インターギアソリューション株式会社 ,業務委託,400万円～1100万円
52,株式会社コシダカ ,正社員,300万円～850万円
53,株式会社コシダカ ,正社員,300万円～850万円
54,株式会社メディオテクノ ,正社員,300万円～500万円
55,株式会社アイエスエフネット ,正社員,450万円～1000万円
56,センコー株式会社 ,正社員,500万円～1300万円
57,株式会社アイエスエフネット ,正社員,480万円～1000万円
58,株式会社ライジングサンセキュリティーサービス ,正社員,300万円～500万円
59,ソフトバンク営業職合同募集 ,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
60,ソフトバンク営業職合同募集 ,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
61,株式会社コシダカ ,正社員,300万円～850万円
62,株式会社ミュゼプラチナム ,正社員,350万円～450万円
63,日研トータルソーシング株式会社 ,正社員,月給22万円〜＋残業手当（100％支給）＋賞与2回 ■残業手当は100％支給します！ 入社後、1ヵ月半(研修期…
64,株式会社アキュラホーム ,正社員,800万円～1000万円
65,UTコンストラクション株式会社 ,正社員,350万円～650万円
66,株式会社誠進堂 ,正社員,400万円～1000万円
67,株式会社アキュラホーム,正社員,350万円～650万円
68,KUROFUNE＆PARTNERS株式会社 ,正社員,500万円～700万円
69,日研トータルソーシング株式会社 ,正社員,"●大学卒：月給184,000円 ●専門卒：月給180,000円 ●中学卒・高校卒：月給170,000円 ★経験・能力に応じ…"
70,株式会社 High mind ,正社員,350万円～800万円
71,株式会社そら ,正社員,300万円～550万円
72,株式会社アサンテ ,正社員,450万円～550万円
73,UTエイム株式会社 ,正社員,300万円～500万円
74,株式会社フレックス ,正社員,◆月給20万円〜30万円 ＋ 諸手当 ＋ 賞与（年2回）＋報奨金 ★月収40万円も可能！ ※月給は最低支給額…
75,株式会社サカイ引越センター ,正社員,400万円～550万円
76,UTエイム株式会社 ,正社員,300万円～500万円
77,ロイヤルハウジング株式会社 ,正社員,480万円～1000万円
78,株式会社ビッグモーター ,正社員,300万円～1000万円
79,株式会社フレックス ,正社員,◆月給20万円〜30万円 ＋ 諸手当 ＋ 賞与（年2回）＋報奨金 ★月収40万円も可能！ ※月給は最低支給額…
80,株式会社フレックス ,正社員,◆月給20万円〜30万円 ＋ 諸手当 ＋ 賞与（年2回）＋報奨金 　 ★月収40万円も可能！ ※月給は最低支給…
81,株式会社モリシン電気設備 ,正社員,400万円～600万円
82,株式会社ライジングサンセキュリティーサービス ,正社員,300万円～600万円
83,株式会社修優舘 ,正社員,360万円～700万円
84,株式会社ビッグモーター ,正社員,300万円～550万円
85,DSP株式会社 ,正社員,400万円～1000万円
86,株式会社ビッグモーター ,正社員,300万円～550万円
87,ソフトバンク営業職合同募集 ,正社員,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…
88,エスリード株式会社 ,正社員,450万円～1000万円
89,大阪第一交通株式会社 ,正社員,400万円～600万円
90,有限会社グリーンアンドハウス ,正社員,450万円～780万円
91,株式会社グラスト ,正社員,300万円～400万円
92,株式会社HIPOWER ,正社員,350万円～600万円
93,株式会社インターレイズ ,正社員,280万円～350万円
94,株式会社エージェントゲート ,正社員,300万円～1000万円
95,東京エムケイ株式会社 ,正社員,450万円～550万円
96,株式会社エージェントゲート ,正社員,250万円～600万円
97,株式会社テイクス ,正社員,300万円～650万円
98,株式会社テイクス ,正社員,300万円～650万円
99,株式会社ネオキャリア ,正社員,360万円～700万円
100,株式会社アーキ・ジャパン ,正社員,600万円～1000万円
101,株式会社エージェントゲート ,正社員,300万円～1000万円
102,株式会社建築資料研究社 ,正社員,350万円～550万円
103,株式会社ラビット・カーネットワーク ,正社員,400万円～700万円
104,株式会社アミ―クス ,FCオーナー,完全出来高制となります。 施工原価はわずかな塗料等の材料費だけなので利益率が高いのが特徴。 例えば…
105,株式会社一条工務店 ,正社員,450万円～800万円
106,株式会社テクトン ,正社員,360万円～840万円
107,ヒカリ電気土木株式会社 ,正社員,400万円～700万円
108,株式会社九州エネコ ,正社員,400万円～750万円
109,光電気工事株式会社 ,正社員,300万円～650万円
110,UTエイム株式会社 ,正社員,300万円～500万円
111,株式会社近畿住宅流通 ,正社員,450万円～800万円
112,UTコンストラクション株式会社 ,正社員,300万円～650万円
113,小金井不動産株式会社 ,正社員,300万円～1000万円
114,東建コーポレーション株式会社 ,正社員,400万円～800万円
115,日本eリモデル株式会社 ,正社員,300万円～700万円
116,UTエイム株式会社 ,正社員,300万円～500万円
117,東建コーポレーション株式会社 ,正社員,400万円～800万円
118,株式会社ゴールドファステート ,正社員,450万円～2000万円
119,UTエイム株式会社 ,正社員,300万円～500万円
120,株式会社アール・エム ,正社員,400万円～700万円
121,UTエイム株式会社 ,正社員,300万円～500万円
122,HITOWAライフパートナー株式会社 ,FCオーナー,"【収入例（あくまでも個人開業の場合の一例です）】 売上：976,000円−（原価：49,000円＋販管費：307,70…"
123,株式会社ワールドコーポレーション,正社員,350万円～500万円
124,株式会社レアリス ,正社員,280万円～350万円
125,株式会社砂建 ,正社員,★2つの働き方が選べます。 ▼週休2日制 【月給】24万〜55万円＋諸手当 ▼完全週休2日制 【月給】22万…
126,大同生命保険株式会社 ,正社員,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …
127,株式会社ワールドコーポレーション ,正社員,350万円～500万円
128,大和総合住設株式会社 ,正社員,350万円～800万円
129,日本交通株式会社 ,正社員,試用期間中：月給25万円（3ヶ月） ※上記は法定研修後3ヶ月間の最低保証額です★保障給制 ※交通費別途…
130,株式会社TCG ,正社員,400万円～1500万円
131,株式会社ワールドコーポレーション ,正社員,350万円～500万円
132,株式会社ネオ・コーポレーション ,正社員,500万円～1500万円
133,メットライフ生命保険株式会社 ,正社員,◆初任給月給：25万円または30万円 （基本給10万円+初期補給15万円または20万円）+業績給 ※初期補給の…
134,株式会社アドレア ,契約社員,360万円～600万円
135,株式会社セントラルアセット ,正社員,400万円～650万円
136,株式会社ホームワン ,正社員,400万円～500万円
137,ヴェル・ハウジング株式会社 ,正社員,300万円～700万円
138,株式会社大成社 ,正社員,430万円～1100万円
139,株式会社あきんどスシロー ,正社員,"月給21万5,000円〜 【月収例（店長）】 月収39万7,000円（内訳は以下の通り） 役職手当：16万円 住宅手…"
140,居藏管工株式会社 ,正社員,340万円～440万円
141,株式会社トライトキャリア ,正社員,◆月給23万円〜40万円+賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …
142,小金井不動産株式会社 ,正社員,400万円～1000万円
143,メットライフ生命保険株式会社 ,正社員,【初任給月給】25万円または30万円 ※平均給与月額実績71.6万円（2018年度税込定例給与実績、賞与は除外…
144,株式会社REGALE ,正社員,700万円～3000万円
145,株式会社ドリームホーム ,正社員,300万円～500万円
146,イッセイコンサルタント株式会社 ,正社員,350万円～850万円
147,株式会社ジーアフター ,正社員,400万円～650万円
148,株式会社センス ,正社員,350万円～800万円
149,クラウンコンサルティング株式会社 ,正社員,300万円～550万円
150,株式会社ゼディアルーク ,正社員,月給18万円〜80万円 ＋ インセンティブ（プロジェクト単位での業績に応じる） ※あなたの経験・年齢を考…
151,株式会社手なおし屋 ,正社員,400万円～500万円
152,アップライブステージ株式会社 ,正社員,300万円～600万円
153,高松建設株式会社 ,正社員,420万円～750万円
154,株式会社エコ・エー ,正社員,300万円～700万円
155,エムケイ株式会社 ,正社員,400万円～700万円
156,株式会社グランデ ,正社員,400万円～1000万円
157,積水ハウス不動産関西株式会社 ,正社員,400万円～700万円
158,株式会社ガリレオコーポレーション ,正社員,500万円～2000万円
159,クルーガーグループ株式会社 ,正社員,450万円～850万円
160,株式会社阿部技建 ,正社員,400万円～500万円
161,悠悠ホーム株式会社 ,正社員,350万円～1000万円
162,株式会社グッドワークコミュニケーションズ ,正社員,350万円～800万円
163,株式会社Freedoming ,正社員,336万円～600万円
164,株式会社ウィザースホーム ,正社員,400万円～600万円
165,株式会社グランド1コーポレーション ,正社員,500万円～800万円
166,日本セキュリティ株式会社 ,正社員,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…
167,株式会社リンクスタッフグループ ,正社員,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…
168,株式会社祥福企画 ,正社員,300万円～510万円
169,大和総合住設株式会社 ,正社員,350万円～800万円
170,東宝ホーム株式会社 ,正社員,450万円～600万円
171,ディーピーティー株式会社 ,正社員,400万円～600万円
172,クレストジャパン株式会社 ,正社員,550万円～1000万円
173,エコトラスト株式会社 ,正社員,500万円～1000万円
174,株式会社ビルドイット ,正社員,400万円～675万円
175,株式会社エクストリンク ,正社員,月給28万円以上+インセンティブ ※入社半年の平均月収は43万円（業界高水準） ※試用期間中（2ヶ月間）は…
176,株式会社FGGコーポレーション ,正社員,300万円～1000万円
177,株式会社FGGコーポレーション ,正社員,400万円～700万円
178,木下工業株式会社 ,正社員,350万円～500万円
179,アートバンライン株式会社 ,正社員,400万円～500万円
180,アートバンライン株式会社 ,正社員,450万円～600万円
181,アートバンライン株式会社 ,正社員,500万円～650万円
182,Y&I Group株式会社 ,正社員,300万円～1000万円
183,日本交通株式会社 ,正社員,・試用期間中：月給25万円（3ヶ月） ※労働条件に変化なし ※早期に終了しても、 入社後3ヶ月間は月給25…
184,楽天モバイル株式会社 ,契約社員,351万円～510万円
185,株式会社H.I.T WORLD ,正社員,300万円～540万円
186,株式会社ソヴリックコーポレーション ,正社員,350万円～800万円
187,ブロードマインド株式会社 ,正社員,400万円～600万円
188,幸信電気株式会社 ,正社員,600万円～900万円
189,ケイアイスター不動産株式会社 ,正社員,400万円～700万円
190,さか電工株式会社 ,正社員,300万円～600万円
191,株式会社ロジカル ,正社員,350万円～400万円
192,ケイアイスター不動産株式会社 ,正社員,400万円～700万円
193,株式会社Human Investment ,正社員,350万円～500万円
194,株式会社comam ,正社員,月給／26万円以上　＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については…
195,有限会社エフォール ,業務委託,100万円～1000万円
196,可児建設株式会社 ,正社員,400万円～700万円
197,倉一建基株式会社 ,正社員,350万円～500万円
198,日本建物株式会社 ,正社員,400万円～700万円
199,Rセキュリティ株式会社 ,正社員,450万円～550万円
200,株式会社プレサンスコーポレーション ,正社員,350万円～1200万円
201,株式会社LUXSIA ,正社員,月給25万円〜45万円 + インセンティブ ★実際に月収70万円超えの社員も！ ★あなたの頑張りは、きちんと…
202,株式会社サーバントップ ,正社員,500万円～950万円
203,GMO TECH株式会社 ,正社員,300万円～1000万円
204,株式会社ノベルワークス ,正社員,月給27万〜54万円+諸手当+賞与 ※上記は最低保証金額です ※経験・能力を考慮の上、決定いたします ※試…
205,メットライフ生命保険株式会社 ,正社員,【初任給月給】25万円または30万円 ※初期補給の金額は前年度年収により決定。 個人成績に応じて3ヶ月ご…
206,エントロス株式会社 ,正社員,300万円～450万円
207,株式会社前平電機 ,正社員,"経験者…月給30万6,000円〜41万3,000円（実務経験5年程度の方） 未経験…月給20万6,000円以上 ▼完全週…"
208,株式会社京進 ,契約社員,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
209,株式会社LTCパートナーズ ,正社員,420万円～532万円
210,株式会社UPSTART ,正社員,360万円～1000万円
211,株式会社マリオットバケーションクラブインターナショナル,契約社員,240万円～1500万円
212,株式会社ワンダー ,正社員,月給22万円〜60万円 ＋ インセンティブ + 諸手当 ※経験・能力を考慮の上、 　当社規定により優遇いたし…
213,株式会社マイホーム ,正社員,350万円～800万円
214,株式会社マリオットバケーションクラブインターナショナル,契約社員,300万円～450万円
215,フジミハウジング株式会社 ,正社員,600万円～1000万円
216,レイス株式会社 ,正社員,450万円～1050万円
217,レイス株式会社 ,正社員,450万円～1050万円
218,日本テンポラリーハウス株式会社 ,正社員,350万円～500万円
219,株式会社窪治組 ,正社員,300万円～550万円
220,リアルティ株式会社 ,正社員,400万円～800万円
221,株式会社松陰会舘 ,正社員,380万円～560万円
222,株式会社インターレイズ ,正社員,280万円～350万円
223,株式会社京進 ,FCオーナー,【年間モデル収益】 年間平均生徒数が60名の場合 ◎年間売上／2733万円 ・授業料、入学料　他 ◎年間諸費…
224,大長産業株式会社 ,正社員,360万円～420万円
225,スカイジャパン株式会社 ,正社員,400万円～600万円
226,丸栄産業株式会社 ,正社員,450万円～800万円
227,アパルトマンイクシーズ株式会社 ,正社員,350万円～1000万円
228,株式会社阿部建設 ,正社員,400万円～500万円
229,株式会社テクトン ,正社員,300万円～900万円
230,株式会社アイダ設計 ,正社員,350万円～750万円
231,光和電設株式会社 ,正社員,月給27万円以上 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、…
232,積水ハウス不動産中国四国株式会社 ,正社員,"月給21万3,500円以上＋業績手当+残業手当＋賞与2回＋決算賞与 ※経験・能力等を考慮の上、決定します。 …"
233,クリーンデバイス・テクノロジー株式会社,FCオーナー,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…
234,株式会社日本総合ビジネス ,正社員,300万円～600万円
235,株式会社OMY ,契約社員,300万円～600万円
236,株式会社ヨシナガ工業 ,正社員,425万円～600万円
237,株式会社アイシーイノベーション ,正社員,350万円～530万円
238,アパルトマンイクシーズ株式会社 ,正社員,245万円～300万円
239,和泉地所株式会社 ,正社員,450万円～600万円
240,株式会社ファーラウト ,正社員,240万円～1000万円
241,株式会社タイセイリサイクル ,正社員,350万円～450万円
242,株式会社トラスト不動産 ,正社員,月給20万円〜37万円＋インセンティブ（仲介手数料の10%を支給） ※年齢・経験を考慮の上、当社規定によ…
243,株式会社浜石工務店 ,契約社員,350万円～1000万円
244,株式会社朝日写真ニュース社 ,正社員,300万円～450万円
245,株式会社ユースリー ,正社員,300万円～600万円
246,株式会社フォーカスタマーズ ,正社員,350万円～550万円
247,株式会社フットワーク ,正社員,328万円～900万円
248,株式会社カクダイホーム ,正社員,350万円～600万円
249,株式会社キャリアサービス ,正社員,500万円～1000万円
250,株式会社ディークラフト ,正社員,360万円～780万円
251,株式会社あんしんマイホーム ,正社員,500万円～2000万円
252,朝日土地建物株式会社,正社員,500万円～1000万円
253,洋伸建設株式会社 ,正社員,400万円～550万円
254,株式会社フォートップス ,正社員,月給28万円〜100万円 ※経験・能力を考慮のうえ優遇いたします。 【月収例】 ◎店長経験者 35万円（各種…
255,株式会社エス・エル・エス福岡 ,正社員,550万円～800万円
256,四国化工建設株式会社 ,正社員,"未経験者 月給220,000円以上＋諸手当 経験者　 月給310,000円以上＋諸手当 ※年齢、経験、能力を考慮の…"
257,株式会社レジット ,正社員,300万円～800万円
258,不二装備工業株式会社 ,正社員,320万円～500万円
259,株式会社国際技術コンサルタンツ ,正社員,300万円～500万円
260,株式会社ファースト ,正社員,450万円～650万円
261,CPAエクセレントパートナーズ株式会社 ,正社員,550万円～800万円
262,株式会社ゲッコー ,正社員,350万円～650万円
263,株式会社メディエイド ,正社員,500万円～900万円
264,株式会社丸八ダイレクト ,正社員,月給25万円〜27万円＋フォローアップ手当5万円(入社後4ヶ月間)＋報奨金 ※勤務地により異なります。 ※試…
265,株式会社ネオート ,正社員,400万円～600万円
266,HULK建設株式会社 ,正社員,400万円～800万円
267,株式会社AMBITION ,正社員,月給25〜50万円 ※経験・スキル等を考慮し、当社規定により決定いたします。 ※上記には固定残業代（5万…
268,アクサ生命保険株式会社 ,正社員,400万円～1000万円
269,社会福祉法人ひまわり会 ,正社員,380万円～450万円
270,株式会社サンドリア ,正社員,350万円～500万円
271,株式会社CRUD nop ,正社員,350万円～900万円
272,株式会社ヒューマンアイズ ,正社員,300万円～600万円
273,株式会社ソーケン ,正社員,300万円～400万円
274,株式会社スタイリッシュホーム ,正社員,400万円～800万円
275,株式会社TERASS ,業務委託,100万円～2000万円
276,エーシー企画株式会社 ,正社員,580万円
277,株式会社日本アムスコ ,正社員,"◆大卒：月給20万2,000円〜 ◆院卒：月給20万8,000円〜 ※上記は新卒・未経験の最低保証給となります。 …"
278,株式会社ほけんショップアイ ,正社員,"月給20万円〜48万5,227円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あり、…"
279,御幸建設株式会社 ,正社員,400万円～800万円
280,株式会社キントウン ,正社員,350万円～650万円
281,株式会社大登 ,正社員,300万円～700万円
282,株式会社ヤマキ ,正社員,400万円～650万円
283,株式会社マツミ ,正社員,【月給】22万〜45万円＋インセンティブ ※入社前のご経験などを総合的に評価、優遇します ※試用期間3か…
284,FUJITSU UT株式会社 ,正社員,250万円～400万円
285,株式会社wings ,正社員,350万円～450万円
286,東山管理センター株式会社 ,正社員,300万円～600万円
287,株式会社ドリームジャック ,正社員,420万円～600万円
288,株式会社大軌 ,正社員,400万円～600万円
289,株式会社曙佳源 ,正社員,月給23万円〜 ※年齢、経験、能力を考慮の上、当社規程により決定いたします。
290,株式会社めいしんグループ ,正社員,290万円～1000万円
291,株式会社ファイン ,正社員,350万円～450万円
292,株式会社太田興産 ,正社員,340万円～400万円
293,株式会社前川造園土木 ,正社員,300万円～600万円
294,株式会社フィット ,正社員,300万円～1000万円
295,冨士自動車株式会社 ,正社員,480万円～800万円
296,株式会社海山組 ,正社員,500万円～700万円
297,株式会社ワークナビ.com ,正社員,450万円～600万円
298,東葉技建株式会社 ,正社員,360万円～900万円
299,松田土木工業株式会社 ,正社員,350万円～550万円
300,株式会社ライフエージェント ,正社員,350万円～450万円
301,株式会社晃和コンサルタント ,正社員,月給20万5000円〜40万円 + 通勤手当（5000円〜）＋諸手当 ＜モデル例＞ ・年収500万円／20代／建設コン…
302,株式会社エス・ケー・アイ ,正社員,420万円～600万円
303,三喜工業株式会社 ,正社員,435万円～725万円
304,株式会社今井自動車教習所 ,正社員,250万円～450万円
305,信盛物流株式会社 ,正社員,●日勤：月給37万円以上 ●夜勤：月給39万円以上 ※月給には一律手当を含む ※経験・能力を考慮の上、決…
306,株式会社興徳クリーナー ,正社員,"■月給18万円〜25万7,000円＋残業代100％支給＋諸手当＋賞与年2〜3回 【月収45万以上の社員が多数！】 …"
307,株式会社タイセイ ,正社員,400万円～530万円
308,株式会社エイコーレンタサービス ,正社員,月給24万円〜＋インセンティブ＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定します。 ※上記金額に…
309,アクティホームズ株式会社 ,正社員,350万円～600万円
310,ケイエイツー株式会社 ,正社員,月給25万円〜35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あ…
311,新日本住建株式会社 ,正社員,300万円～500万円
312,株式会社ワークステーション ,FCオーナー,1日軽自動車5台/20日稼働の場合 1台1万8000円×5台×20日＝月商180万円 └液剤：1台2695円×5台×20日＝2…
313,株式会社ARS ,正社員,400万円～600万円
314,株式会社東名 ,正社員,"■月給27万円以上＋各種手当＋インセンティブ （上記には固定残業35時間／70,000円以上を含む） ※経験…"
315,株式会社アクト ,正社員,350万円～500万円
316,Bigmac株式会社 ,正社員,◆月給17万〜50万円 ＜平均年収＞ 300万円〜600万円 ※これまでの経験・能力等を十分に考慮し、当社規…
317,株式会社Y’S GARAGE ,正社員,350万円～600万円
318,株式会社メディカルアシスト ,正社員,月給30万円以上＋インセンティブ ＼インセンティブについて／ ★スポットで担当する案件の契約額×20%を…
319,株式会社Y’S GARAGE ,正社員,300万円～500万円
320,株式会社北浦板金 ,正社員,【1】週休制／月給30万円以上 【2】週休2日制／月給28万8000円以上 【3】完全週休2日制／月給26万4000円…
321,株式会社SAMURAI ,正社員,月給20万円〜50万円 ※経験・年齢・スキルを考慮の上、優遇致します。 【年収例】 未経験入社1年目:年収…
322,株式会社ケーシーエス ,正社員,"■月給18万円〜25万7,000円＋諸手当＋賞与年2回 ※残業代100％支給 ★月収45万円以上の社員もいます！ …"
323,株式会社LIV ,正社員,300万円～700万円
324,株式会社ケーシーエス・エス ,正社員,300万円～480万円
325,株式会社近畿サービス ,正社員,350万円～450万円
326,株式会社エム・シー・ピー ,正社員,450万円～850万円
327,ロビンスジャパン株式会社 ,正社員,450万円～700万円
328,株式会社関塾 ,正社員,400万円～500万円
329,ソーシャルインクルー株式会社 ,正社員,360万円～600万円
330,株式会社マリーロード ,正社員,■月給20万2600円〜23万4600円＋諸手当＋時間外手当（残業をした場合全額支給）＋賞与（年2回） ※経験…
331,株式会社コンセプト ,正社員,360万円～450万円
332,日本コンセントリクス株式会社 ,契約社員,340万円～380万円
333,株式会社エフテック ,正社員,月給30万円〜45万円 ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間3ヶ月(期間中の待遇に…
334,イオングリーン電力株式会社 ,正社員,500万円～800万円
335,株式会社リクルート北関東マーケティング ,正社員,350万円～450万円
336,株式会社小山電機工事 ,正社員,月給30万円〜50万円 ＼前職給与考慮／ ※年齢・経験・能力を考慮のうえ、決定。 ※試用期間あり（最大3…
337,株式会社大通 ,正社員,450万円～700万円
338,株式会社エフ・アール・エス ,正社員,500万円～1000万円
339,株式会社倉嶋自動車商会 ,正社員,320万円～400万円
340,株式会社ヴェス ,正社員,300万円～850万円
341,株式会社川村インターナショナル ,正社員,340万円～700万円
342,nts株式会社 ,正社員,400万円～600万円
343,タウンクロス株式会社 ,正社員,350万円～450万円
344,株式会社ユニヴィスコンサルティング ,正社員,400万円～800万円
345,株式会社司興業 ,正社員,月給：35万円〜70万円 ※年齢、経験、能力を考慮の上、優遇いたします ※上記には固定残業手当（45時間分…
346,株式会社エーライド ,正社員,■月給23万円〜35万円＋インセンティブ ※45時間分・5万4225円〜7万円のみなし残業手当含む（超過分は別…
347,株式会社ワイズ高橋 ,正社員,月給25万円以上＋歩合給 (営業経験者は毎月+5万円の手当支給！) ※試用期間3〜6ヵ月あり(期間中、待遇に…
348,株式会社大黒屋 ,正社員,350万円～450万円
349,鶴ホーム株式会社 ,正社員,450万円～800万円
350,有限会社ヤマテック ,正社員,"月給195,000円〜340,000円 + 諸手当 + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により…"
351,株式会社ホワイトライン ,正社員,360万円～600万円
352,上海中和軟件有限公司 ,契約社員,540万円～1200万円
353,株式会社フリーテンポ ,正社員,350万円～450万円
354,株式会社EnjoyLifeCompany ,正社員,月給20万円〜45万円＋インセンティブ＋賞与年2回 ※経験・能力を考慮して決定いたします ※上記には月40…
355,株式会社鶴電工業 ,正社員,300万円～500万円
356,株式会社エールホーム ,正社員,500万円～1000万円
357,有限会社コウチョウ運輸 ,正社員,"月給200,000円〜270,000円 + 諸手当 【モデル月収例】 月収50万円／40代／（入社8年目） 月収30万円／30…"
358,株式会社福岡地行 ,正社員,450万円～800万円
359,株式会社ビズアップ総研 ,正社員,600万円～1000万円
360,アキバネクサス株式会社 ,業務委託,500万円～1000万円
361,株式会社メイプルリビングサービス ,正社員,300万円～500万円
362,蒼翠税理士法人 ,正社員,420万円～850万円
363,株式会社ミナカミ ,正社員,月給 18万円〜22万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヵ月（その間の給…
364,株式会社沖縄ユーポス ,正社員,月給20万円〜30万円 ＋ 諸手当 ＋ インセンティブ ※経験・スキルを考慮して給与を決定します。 　詳し…
365,日本建物株式会社 ,正社員,月給25万円〜＋交通費＋資格手当＋インセンティブ＋報奨金あり ※役職によって固定給は上がっていきます…
366,株式会社清光社 ,正社員,250万円～450万円
367,株式会社環境設備 ,正社員,月給20万円〜 ＋ 歩合給 ＋ 諸手当 ＜モデル例＞ ★月収52万円／入社1年目 ※浄化槽工事は1件あたり70…
368,株式会社逢慈 ,正社員,月給21万円〜+諸手当+インセンティブ＋賞与(年2回) ※上記は最低保証金額です ※経験・能力を考慮の上、…
369,株式会社ストラテジックディシジョン ,正社員,450万円～1000万円
370,東北YKホーム株式会社 ,正社員,"月給230,000円以上 ※経験、年齢等を考慮し当社規定ににより優遇します ※試用期間3ヵ月間も給与変動なし"
371,株式会社建築資料研究社 ,正社員,350万円～550万円
372,昭和エンジニアリング株式会社 ,契約社員,600万円～1080万円
373,株式会社サンプラン ,正社員,550万円～1000万円
374,株式会社グッピーズ ,正社員,305万円～510万円
375,株式会社渡辺組 ,正社員,450万円～550万円
376,株式会社若狭サービス社 ,正社員,月給25万円以上 ＋ 諸手当 ※経験や年齢を考慮し決定します。 ※試用期間3ヵ月間あり（ 給与の変動なし …
